--This is a comment -This is meta information The rest is the map
-MapName = Test Map
-MapType = Local Map

--Putting the tiles
0,0,0,T,Tile,Grass
1,0,0,T,Tile,Grass
2,0,0,T,Tile,Grass
3,0,0,T,Tile,Grass
4,0,0,T,Tile,Grass
5,0,0,T,Tile,Grass
6,0,0,T,Tile,Grass
7,0,0,T,Tile,Grass
8,0,0,T,Tile,Grass
9,0,0,T,Tile,Grass
10,0,0,T,Tile,Grass

0,1,0,T,tile,Grass
1,1,0,T,tile,Grass
2,1,0,T,tile,Grass
3,1,0,T,Tile,Grass
4,1,0,T,Tile,Grass
5,1,0,T,Tile,Grass
6,1,0,T,Tile,Grass
7,1,0,T,Tile,Grass
8,1,0,T,Tile,Grass
9,1,0,T,Tile,Grass
10,1,0,T,Tile,Grass

0,2,0,T,tile,Grass
1,2,0,T,tile,Grass
2,2,0,T,tile,Pavement
3,2,0,T,Tile,Pavement
4,2,0,T,Tile,Pavement
5,2,0,T,Tile,Pavement
6,2,0,T,Tile,Pavement
7,2,0,T,Tile,Pavement
8,2,0,T,Tile,Pavement
9,2,0,T,Tile,Grass
10,2,0,T,Tile,Grass

0,3,0,T,tile,Grass
1,3,0,T,tile,Grass
2,3,0,T,tile,Pavement
3,3,0,T,Tile,Pavement
4,3,0,T,Tile,Pavement
5,3,0,T,Tile,Pavement
6,3,0,T,Tile,Pavement
7,3,0,T,Tile,Pavement
8,3,0,T,Tile,Pavement
9,3,0,T,Tile,Grass
10,3,0,T,Tile,Grass

0,4,0,T,tile,Grass
1,4,0,T,tile,Grass
2,4,0,T,tile,Pavement
3,4,0,T,Tile,Pavement
4,4,0,T,Tile,Pavement
5,4,0,T,Tile,Wood
6,4,0,T,Tile,Pavement
7,4,0,T,Tile,Pavement
8,4,0,T,Tile,Pavement
9,4,0,T,Tile,Grass
10,4,0,T,Tile,Grass

0,5,0,T,tile,Grass
1,5,0,T,tile,Grass
2,5,0,T,tile,Pavement
3,5,0,T,Tile,Pavement
4,5,0,T,Tile,Wood
5,5,0,T,Tile,Wood
6,5,0,T,Tile,Wood
7,5,0,T,Tile,Pavement
8,5,0,T,Tile,Pavement
9,5,0,T,Tile,Grass
10,5,0,T,Tile,Grass

0,6,0,T,tile,Grass
1,6,0,T,tile,Grass
2,6,0,T,tile,Pavement
3,6,0,T,Tile,Pavement
4,6,0,T,Tile,Pavement
5,6,0,T,Tile,Wood
6,6,0,T,Tile,Pavement
7,6,0,T,Tile,Pavement
8,6,0,T,Tile,Pavement
9,6,0,T,Tile,Grass
10,6,0,T,Tile,Grass

0,7,0,T,tile,Grass
1,7,0,T,tile,Grass
2,7,0,T,tile,Pavement
3,7,0,T,Tile,Pavement
4,7,0,T,Tile,Pavement
5,7,0,T,Tile,Pavement
6,7,0,T,Tile,Pavement
7,7,0,T,Tile,Pavement
8,7,0,T,Tile,Pavement
9,7,0,T,Tile,Grass
10,7,0,T,Tile,Grass

0,8,0,T,tile,Grass
1,8,0,T,tile,Grass
